,NBMACT_WAX,NBMCON_NBMACT,NBMCON_NBMFUS,NBMCON_WAX,NBMFUS_NBMACT,NBMFUS_WAX,NBMMIN_NBMACT,NBMMIN_NBMCON,NBMMIN_NBMFUS,NBMMIN_WAX
mmppu.wam,0.0,0.0,0.0,0.1229,0.0,0.0,0.0,0.0,0.0,0.0
pxvre.wam,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0
rp5aw.wam,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
thewobswax55,0.0,0.0,0.0,0.1481,0.0,0.0,0.0,0.0,0.0,0.0
tongshuijing,0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.0,0.0,0.0
uvkue.wam,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0
ytg3g.c.wam,0.0,0.0,0.0,0.0198,0.0,0.0,0.0,0.0,0.0,0.0
zhxfi.wam,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0
zxvgs.wam,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
1le.wam,0.0,0.0,0.0,2.0921,0.0,0.0,0.0,0.0,0.0,0.0
a53rm.wam,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
dragon.gm,0.0,0.0,0.0,0.0061,0.0054,0.0,0.0001,0.0,0.0042,0.0
p5jo4.c.wam,0.0,0.0,0.0,0.0181,0.0,0.0,0.0,0.0,0.0,0.0
k.3cg.wam,0.0,0.0,0.0,0.1038,0.0,0.0,0.0,0.0,0.0,0.0
s2.k..c.wam,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
goerk.wam,0.0,0.0,0.0,0.1577,0.0,0.0,0.0,0.0,0.0,0.0
.s1ec.wam,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.0,0.0,0.0
cebastion42a,0.0,0.0,0.0,0.0,0.0153,0.0,0.0068,0.0,0.0172,0.0
dgawu.wam,0.0,0.0,0.0,0.0,0.7652,0.0,0.0,0.0,0.0,0.0
f4x3niftyacc,0.0,0.0,0.0,0.0,0.076,0.0,0.0,1.855,0.0,0.0
hh2qw.wam,0.0,0.0,0.0,0.0,0.9881,0.0,0.0641,0.0,0.0,0.0
hl.ba.wam,0.0,0.0,0.0,0.0,0.048,0.0,0.0052,0.0136,0.0654,0.0
nathan4naron,0.0,0.0,0.0,0.0,0.0132,0.0,0.0,0.0,0.0,0.0
pfwsc.wam,0.0,0.0,0.0,0.0,0.0376,0.0,0.1536,0.0,0.0973,0.0
shemohoeneee,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0
st.vw.wam,0.0,0.0,0.0,0.0,0.1711,0.0,0.0,0.0,0.0,0.0
u53gu.wam,0.0,0.0,0.0,0.0,1.3456,0.0,0.0,0.0,0.0,0.0
5.sra.wam,0.0,0.0,0.0,0.0,0.0,0.0464,0.0,0.0,0.0,0.0
c2q...c.wam,0.0,0.0,0.0,0.0,0.0,0.2151,0.0,0.0,0.0,0.0
ekexe.wam,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0
feyoq.c.wam,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0
fqivw.wam,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0
grumpyolgump,0.0,0.0,0.0,0.0,0.0,0.2686,0.0,0.0,0.0,0.0
hs4eg.wam,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0
m53vw.wam,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0
paramerion22,0.0,0.0,0.0,0.0,0.0,0.0681,0.0,0.0,0.0,0.0
pelzinnft.gm,0.0,0.0,0.0,0.0,0.0,0.4482,0.0,0.0,0.0,0.0
qwqr4.wam,0.0,0.0,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.0
s5deo.wam,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.0
safj4.wam,0.0,0.0,0.0,0.0,0.0,1.0314,0.0,0.0,0.0,0.0
5bpa4.c.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awuqc.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.giek.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0548,0.0047,0.0458,0.0
e3zwy.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0047,0.0,0.0
eyiqy.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0047,0.0201,0.0
jytgc.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0047,0.0392,0.0
q.gcc.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.1069,0.0456,0.0
toooooooon2k,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0,0.0,0.0
xq4ra.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556,0.0,0.0
sn5wm.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0651,0.0609
uz.di.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2457,0.0
vkcqq.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781,0.0
xgtec.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0
agysq.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187
cfbqy.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129
ha4r.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869
ojor4.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281
sndxg.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7231
v4.bc.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6932
2o42c.c.wam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139
